Complexity,Loss,Equation
1,2.7275,"X"
3,1.0061435,"(1.636638 ^ X)"
5,0.17479438,"(1.9162922 ^ (X + -1.4560474))"
7,0.07228568,"((1.9975678 ^ (X + -1.7591983)) - -0.40869927)"
9,0.07228567,"(((1.9975678 ^ (X + -1.7591983)) + 0.4094323) - -4.3098797e-5)"
11,0.06598483,"(((2.057761 ^ (X + -1.9706522)) - (0.90731305 ^ X)) - -1.4250606)"
13,0.054188803,"((1.9973502 ^ (X + -1.7591983)) - (-0.39590278 - (-0.03188197 / (-0.7979989 - X))))"
15,0.052027963,"((1.9973502 ^ (X + -1.7591983)) - (-0.3959027 + ((-0.026428446 * 0.84486115) / (0.8552035 + X))))"
17,0.05023077,"((1.9975678 ^ (X + -1.7591983)) - (-0.39590278 + ((-0.03188197 * 0.48657194) * ((-0.093362555 ^ X) - -0.97134674))))"
19,0.04752955,"((1.9973502 ^ (X + -1.7585425)) - (-0.3959027 + (-0.026428446 / (1.7325995 + (((1.1009271 - X) + 1.9800321) + 0.057130937)))))"
